#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2020,1,2,1,40,292,5.5 1,0.2,2.43,21.05,6.51,246,1013.7,16.9,15.2,13.3,99,99
2020,1,2,1,50,27,3,6,99,99,99,999,1013.7,16.1,15.2,13.4,99,99
2020,1,2,2,0,67,2.4,4.8,99,99,99,999,1013.5,15.9,15.2,13.5,99,99
2020,1,2,2,10,80,2.1,3.9,99,99,99,999,1013.8,15.5,15.2,13.7,99,99
2020,1,2,2,20,63,1.9,3.5,99,99,99,999,1014,15.4,15.2,13.7,99,99
2020,1,2,2,30,80,1.4,3.7,99,99,99,999,1013.8,15.4,15.2,13.7,99,99
2020,1,2,2,40,124,1,2.5,2.33,21.05,6.8,264,1013.6,15.5,15.2,14,99,99
2020,1,2,2,50,109,1,2.9,99,99,99,999,1013.7,15.4,15.2,14,99,99
2020,1,2,3,0,201,2.1,5.5,99,99,99,999,1013.4,15.5,15.3,14.3,99,99
2020,1,2,3,10,251,5.9,9.8,99,99,99,999,1013.2,15.9,15.3,13.5,99,99
2020,1,2,3,20,268,6.9 1,0,99,99,99,999,1013.4,16.2,15.3,13.4,99,99
2020,1,2,3,30,269,8.4 1,1.6,99,99,99,999,1013.3,15.9,15.3,13.7,99,99
2020,1,2,3,40,273,8.8 1,1.4,2.3,21.05,6.36,265,1013.1,15.8,15.3,13.7,99,99
2020,1,2,3,50,267,8.9 1,2.9,99,99,99,999,1012.9,15.8,15.4,13.8,99,99
2020,1,2,4,0,270,8.5 1,1,99,99,99,999,1013,15.9,15.4,13.8,99,99
2020,1,2,4,10,267,9.1 1,2.8,99,99,99,999,1013.1,15.6,15.3,14.3,99,99
2020,1,2,4,20,275,9.7 1,3.4,99,99,99,999,1013.3,16,15.3,13.9,99,99
2020,1,2,4,30,283,9.1 1,1.1,99,99,99,999,1012.8,16.1,15.3,13.9,99,99
2020,1,2,4,40,286 1,0.2 1,2.9,2.56,21.05,6.34,225,1012.6,16.2,15.3,13.8,99,99
2020,1,2,4,50,287 1,1.0 1,4.2,99,99,99,999,1012.3,16.5,15.2,13.7,99,99
